,h,kernel_type,time,cutoff,tst_accuracy,tst_f1,tp,fn,tn,fp
0,0.5,gaussian,9.953701734542847,50,0.9766081871345029,0.5428571428571428,19,1,1317,31
1,0.5,gaussian,9.953701734542847,100,0.9400584795321637,0.31666666666666665,19,1,1267,81
2,0.5,gaussian,9.953701734542847,200,0.8669590643274854,0.17272727272727273,19,1,1167,181
3,0.5,gaussian,9.953701734542847,300,0.793859649122807,0.11875,19,1,1067,281
4,0.5,gaussian,9.953701734542847,400,0.7207602339181286,0.09047619047619047,19,1,967,381
5,0.5,tophat,6.106155633926392,50,0.9853801169590644,0.0,0,20,1348,0
6,0.5,tophat,6.106155633926392,100,0.9853801169590644,0.0,0,20,1348,0
7,0.5,tophat,6.106155633926392,200,0.9853801169590644,0.0,0,20,1348,0
8,0.5,tophat,6.106155633926392,300,0.9853801169590644,0.0,0,20,1348,0
9,0.5,tophat,6.106155633926392,400,0.9853801169590644,0.0,0,20,1348,0
10,0.5,epanechnikov,6.182832479476929,50,0.9853801169590644,0.0,0,20,1348,0
11,0.5,epanechnikov,6.182832479476929,100,0.9853801169590644,0.0,0,20,1348,0
12,0.5,epanechnikov,6.182832479476929,200,0.9853801169590644,0.0,0,20,1348,0
13,0.5,epanechnikov,6.182832479476929,300,0.9853801169590644,0.0,0,20,1348,0
14,0.5,epanechnikov,6.182832479476929,400,0.9853801169590644,0.0,0,20,1348,0
15,0.5,exponential,10.294753789901733,50,0.9751461988304093,0.5142857142857142,18,2,1316,32
16,0.5,exponential,10.294753789901733,100,0.9385964912280702,0.3,18,2,1266,82
17,0.5,exponential,10.294753789901733,200,0.8654970760233918,0.16363636363636364,18,2,1166,182
18,0.5,exponential,10.294753789901733,300,0.7923976608187134,0.1125,18,2,1066,282
19,0.5,exponential,10.294753789901733,400,0.7192982456140351,0.08571428571428572,18,2,966,382
20,0.5,linear,6.067001819610596,50,0.9853801169590644,0.0,0,20,1348,0
21,0.5,linear,6.067001819610596,100,0.9853801169590644,0.0,0,20,1348,0
22,0.5,linear,6.067001819610596,200,0.9853801169590644,0.0,0,20,1348,0
23,0.5,linear,6.067001819610596,300,0.9853801169590644,0.0,0,20,1348,0
24,0.5,linear,6.067001819610596,400,0.9853801169590644,0.0,0,20,1348,0
25,1.0,gaussian,10.003958463668823,50,0.9766081871345029,0.5428571428571428,19,1,1317,31
26,1.0,gaussian,10.003958463668823,100,0.9400584795321637,0.31666666666666665,19,1,1267,81
27,1.0,gaussian,10.003958463668823,200,0.8669590643274854,0.17272727272727273,19,1,1167,181
28,1.0,gaussian,10.003958463668823,300,0.793859649122807,0.11875,19,1,1067,281
29,1.0,gaussian,10.003958463668823,400,0.7207602339181286,0.09047619047619047,19,1,967,381
30,1.0,tophat,6.133050918579102,50,0.9853801169590644,0.0,0,20,1348,0
31,1.0,tophat,6.133050918579102,100,0.9853801169590644,0.0,0,20,1348,0
32,1.0,tophat,6.133050918579102,200,0.9853801169590644,0.0,0,20,1348,0
33,1.0,tophat,6.133050918579102,300,0.9853801169590644,0.0,0,20,1348,0
34,1.0,tophat,6.133050918579102,400,0.9853801169590644,0.0,0,20,1348,0
35,1.0,epanechnikov,6.135421276092529,50,0.9853801169590644,0.0,0,20,1348,0
